ID,Client ID,Client Name,Type,Status,Amount,Currency,Recipient Amount,Recipient Currency,Transaction Fee,Fee Currency,Date,Information,Remark
2601311154070278192,260129150059937,null Tier three rich bird,Invoice Payment,Completed,74444.81,USD,74424.81,USD,20.0,USD,2026-01-31 11:54:07.000,Payout to third-party (USD) 123456 - Bank of China (Hong Kong) Limited,
2601302121550278161,260120170059086,Test ZX 1011,Withdraw,Closed,7.0,SGD,2.0,SGD,5.0,SGD,2026-01-30 21:21:55.000,Withdraw to (SGD) testqwer - Citibank NA,
2601302040340278130,260120170059086,Test ZX 1011,Withdraw,Closed,7.0,SGD,2.0,SGD,5.0,SGD,2026-01-30 20:40:34.000,Withdraw to (SGD) testqwer - Citibank NA,
2601301846430278113,260120170059086,Test ZX 1011,Withdraw,Closed,7.0,SGD,2.0,SGD,5.0,SGD,2026-01-30 18:46:43.000,Withdraw to (SGD) testqwer - Citibank NA,
2601301843060278094,260120170059086,Test ZX 1011,Withdraw,Closed,7.0,SGD,2.0,SGD,5.0,SGD,2026-01-30 18:43:06.000,Withdraw to (SGD) testqwer - Citibank NA,
2601301837240278088,260120170059086,Test ZX 1011,Withdraw,Closed,7.0,SGD,2.0,SGD,5.0,SGD,2026-01-30 18:37:24.000,Withdraw to (SGD) testqwer - Citibank NA,
2601301819090278079,260129150059877,test marmot lit,Invoice Payment,Pending,1889.24,SGD,1884.24,SGD,5.0,SGD,2026-01-30 18:19:09.000,Payout to third-party (SGD) 482887 - The Hongkong and Shanghai Banking Corporation Limited,
2601301819050278049,260129150059877,test marmot lit,Deposit,Authorized,1500.0,USD,0.0,USD,0.0,USD,2026-01-30 18:19:05.000,Deposit to (USD) 2132415 - MAYBANK SINGAPORE LIMITED,
2601301814480278026,260108140050581,JIN CONAN,Deposit,Authorized,200.0,SGD,0.0,SGD,0.0,SGD,2026-01-30 18:14:48.357,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601301806460278008,260129150059877,test marmot lit,Deposit,Authorized,100.0,SGD,0.0,SGD,0.0,SGD,2026-01-30 18:06:46.000,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601301802320277980,260129150059877,test marmot lit,QR Payment,Completed,23786.86,SGD,23786.86,SGD,0.0,SGD,2026-01-30 18:02:32.000,Payment to (SGD) DTC Mock - MOBILE - +65 91331200,
2601301755160277972,260129150059911,Tier two rich bird,QR Payment,Completed,0.16,SGD,1.0,HKD,0.0,SGD,2026-01-30 17:55:16.386,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601301741060277959,260129150059911,Tier two rich bird,QR Payment,Closed,5001.0,SGD,5001.0,SGD,0.0,,2026-01-30 17:41:06.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601301727240277933,85251125110002460,KaichinBusiness,Invoice Payment,Completed,23.62,USD,3.62,USD,20.0,USD,2026-01-30 17:27:24.000,Payout to third-party (USD) 151890820101 - Citibank NA,
2601301725140277922,260129150059877,test marmot lit,QR Payment,Completed,23786.86,SGD,23786.86,SGD,0.0,SGD,2026-01-30 17:25:14.000,Payment to (SGD) DTC Mock - MOBILE - +65 91331200,
2601301725040277917,260129150059911,Tier two rich bird,QR Payment,Closed,5001.0,SGD,5001.0,SGD,0.0,,2026-01-30 17:25:04.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601301723290277896,260129150059911,Tier two rich bird,Invoice Payment,Completed,95000.0,SGD,94995.0,SGD,5.0,SGD,2026-01-30 17:23:29.000,Payout to third-party (SGD) 12345678 - Bank of China (Hong Kong) Limited,
2601301723050277882,260129150059877,test marmot lit,QR Payment,Completed,23786.86,SGD,23786.86,SGD,0.0,SGD,2026-01-30 17:23:05.000,Payment to (SGD) DTC Mock - MOBILE - +65 91331200,
2601301719150277875,251118180038184,Lucas Wong,QR Payment,Completed,6.25,SGD,6.25,SGD,0.0,SGD,2026-01-30 17:19:15.000,Payment to (SGD) DTC Mock - MOBILE - +65 81772222,
2601301716430277848,260109100050786,Tier 1 bird,QR Payment,Closed,4000.0,SGD,4000.0,SGD,0.0,,2026-01-30 17:16:43.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601301714030277834,260109100050786,Tier 1 bird,QR Payment,Closed,4000.0,SGD,4000.0,SGD,0.0,,2026-01-30 17:14:03.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601301708390277807,251118180038184,Lucas Wong,QR Payment,Completed,6.25,SGD,6.25,SGD,0.0,SGD,2026-01-30 17:08:39.000,Payment to (SGD) DTC Mock - MOBILE - +65 81772222,
2601301708350277787,260109100050786,Tier 1 bird,QR Payment,Completed,0.0,SGD,1.0,SGD,0.0,SGD,2026-01-30 17:08:35.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301655290277754,8522120035,limit01,Deposit,Authorized,2.0,SGD,0.0,SGD,0.0,SGD,2026-01-30 16:55:29.695,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601301653340277722,8522120035,limit01,Deposit,Authorized,0.01,SGD,0.0,SGD,0.0,SGD,2026-01-30 16:53:34.643,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601301652020277709,251118180038184,Lucas Wong,QR Payment,Completed,125.19,SGD,125.19,SGD,0.0,SGD,2026-01-30 16:52:02.000,Payment to (SGD) DTC Mock - MOBILE - +65 81772222,
2601301649430277678,260115170054463,chuah tiong guanusd,Invoice Payment,Authorized,1000.0,USD,980.0,USD,20.0,USD,2026-01-30 16:49:43.616,"Payout to third-party (USD) 24524524542 - JPMorgan Chase Bank, National Association",
2601301649140277640,251118180038184,Lucas Wong,QR Payment,Completed,100.0,SGD,100.0,SGD,0.0,SGD,2026-01-30 16:49:14.000,Payment to (SGD) DTC Mock - MOBILE - +65 81772222,
2601301648230277628,8522120035,limit01,Deposit,Authorized,0.01,SGD,0.0,SGD,0.0,SGD,2026-01-30 16:48:23.860,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601301645220277609,8522120035,limit01,Deposit,Authorized,0.01,SGD,0.0,SGD,0.0,SGD,2026-01-30 16:45:22.828,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601301638220277593,260109100050786,Tier 1 bird,QR Payment,Completed,1001.0,SGD,1001.0,SGD,0.0,SGD,2026-01-30 16:38:22.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301634570277571,250526170007154,YAN JIAXIN 2,Invoice Payment,Completed,7.0,SGD,2.0,SGD,5.0,SGD,2026-01-30 16:34:57.000,Payout to third-party (SGD) 202508250000 - DBS,
2601301634560277542,260109100050786,Tier 1 bird,Withdraw,Completed,4000.0,SGD,3995.0,SGD,5.0,SGD,2026-01-30 16:34:56.000,Withdraw to (SGD) 1234567 - DBS Bank Ltd,
2601301634350277539,250526170007154,YAN JIAXIN 2,Invoice Payment,Authorized,6.0,SGD,1.0,SGD,5.0,SGD,2026-01-30 16:34:35.000,Payout to third-party (SGD) 202508250000 - DBS,
2601301632020277507,250325230000273,TT WANG,Invoice Payment,Authorized,27.55,USD,2.55,USD,25.0,USD,2026-01-30 16:32:02.546,Payout to third-party (USD) 1234 - Citibank NA,
2601301623470277496,260109100050778,Tier 2 bird,QR Payment,Completed,501.0,SGD,503.0,SGD,0.0,SGD,2026-01-30 16:23:47.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301623110277485,260109100050778,Tier 2 bird,QR Payment,Closed,501.0,SGD,501.0,SGD,0.0,SGD,2026-01-30 16:23:11.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301615340277450,260109100050778,Tier 2 bird,Withdraw,Authorized,1535.12,MYR,1415.12,MYR,120.0,MYR,2026-01-30 16:15:34.953,Withdraw to (MYR) 123456 - HSBC Bank Malaysia Berhad,
2601301607100277436,260120150058989,MY bird x,Withdraw,Completed,1535.12,MYR,1415.12,MYR,120.0,MYR,2026-01-30 16:07:10.000,Withdraw to (MYR) 123456 - HSBC Bank Malaysia Berhad,
2601301551430277410,260129150059877,test marmot lit,QR Payment,Completed,23790.62,SGD,23790.62,SGD,0.0,SGD,2026-01-30 15:51:43.000,Payment to (SGD) DTC Mock - MOBILE - +65 91331200,
2601301530230277402,260120150058989,MY bird x,QR Payment,Closed,0.16,SGD,1.0,HKD,0.0,SGD,2026-01-30 15:30:23.759,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301528520277388,260120150058989,MY bird x,Refund,Completed,0.16,SGD,0.16,SGD,0.0,SGD,2026-01-30 15:28:52.444,,
2601301525200277369,260120150058989,MY bird x,QR Payment,Closed,81946.19,SGD,500000.0,HKD,0.0,SGD,2026-01-30 15:25:20.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301522380277352,8525020145,TESTSC COPA,Withdraw,Completed,0.16,SGD,0.16,SGD,0.0,SGD,2026-01-30 15:22:38.000,Withdraw to (SGD) 11931801820 - ANEXT Bank Pte. Ltd.,
2601301519490277332,260129150059877,test marmot lit,Invoice Payment,Authorized,23790.62,SGD,23785.62,SGD,5.0,SGD,2026-01-30 15:19:49.270,Payout to third-party (SGD) 482887 - The Hongkong and Shanghai Banking Corporation Limited,
2601301518390277315,85251125110002460,KaichinBusiness,Invoice Payment,Completed,153.51,MYR,33.51,MYR,120.0,MYR,2026-01-30 15:18:39.000,Payout to third-party (MYR) 5005982836 - Public Bank Berhad,
2601301516020277295,260120150058989,MY bird x,QR Payment,Closed,81948.19,SGD,500000.0,HKD,0.0,SGD,2026-01-30 15:16:02.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301502210277264,260120150058989,MY bird x,QR Payment,Closed,0.16,SGD,1.0,HKD,0.0,SGD,2026-01-30 15:02:21.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301438000277247,260120150058989,MY bird x,QR Payment,Refunded,0.16,SGD,1.0,HKD,0.0,SGD,2026-01-30 14:38:00.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301435490277236,260120150058989,MY bird x,QR Payment,Closed,1.53,SGD,1.0,EUR,0.0,,2026-01-30 14:35:49.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601301432390277213,260120150058989,MY bird x,QR Payment,Closed,1.28,SGD,1.0,USD,0.0,SGD,2026-01-30 14:32:39.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301423460277205,260120150058989,MY bird x,QR Payment,Closed,1.28,SGD,1.0,USD,0.0,SGD,2026-01-30 14:23:46.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301422520277176,260120150058989,MY bird x,QR Payment,Closed,1.28,SGD,1.0,USD,0.0,SGD,2026-01-30 14:22:52.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601301418290277162,8522120035,limit01,Deposit,Authorized,0.01,SGD,0.0,SGD,0.0,SGD,2026-01-30 14:18:29.631,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601301357250277156,8522120035,limit01,Deposit,Completed,1.0,SGD,1.0,SGD,0.0,SGD,2026-01-30 13:57:25.000,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601301348330277127,8522120035,limit01,Deposit,Authorized,100000.0,SGD,0.0,SGD,0.0,SGD,2026-01-30 13:48:33.441,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601300943120277115,250325230000273,TT WANG,Invoice Payment,Authorized,10.0,SGD,5.0,SGD,5.0,SGD,2026-01-30 09:43:12.190,Payout to third-party (SGD) 3242425652 - Citibank Singapore Limite,
2601292006390277090,250507120005941,W A1,Invoice Payment,Completed,410.95,USD,390.95,USD,20.0,USD,2026-01-29 20:06:39.000,Payout to third-party (USD) 7277363372 - Wise US Inc.,
2601291958340277080,251121110038996,Serena dtc,QR Payment,Completed,8.0,SGD,10.0,SGD,0.0,SGD,2026-01-29 19:58:34.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601291826540277078,8525020145,TESTSC COPA,Withdraw,Completed,1.18,USD,1.18,USD,0.0,USD,2026-01-29 18:26:54.000,Withdraw to (USD) 11931801820 - ANEXT Bank Pte. Ltd.,
2601291808490277050,250422100003851,ian ding,QR Payment,Completed,1.0,SGD,1.0,SGD,0.0,SGD,2026-01-29 18:08:49.000,Payment to (SGD) DTC Mock - MOBILE - +65 85774637,
2601291800030277044,250422100003851,ian ding,QR Payment,Completed,5.0,SGD,5.0,SGD,0.0,SGD,2026-01-29 18:00:03.000,Payment to (SGD) DTC Mock - MOBILE - +65 85774637,
2601291752140277022,250415110001487,SHIMUL MD IMAM JUED WL 09,QR Payment,Closed,11.96,SGD,73.11,HKD,0.0,SGD,2026-01-29 17:52:14.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601291746590277017,250613140009419,SHIMUL MD IMAM JUED 000,QR Payment,Completed,5.36,SGD,45.0,HKD,0.0,SGD,2026-01-29 17:46:59.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601291744480276982,250422100003851,ian ding,QR Payment,Completed,23.84,SGD,23.84,SGD,0.0,SGD,2026-01-29 17:44:48.000,Payment to (SGD) DTC Mock - MOBILE - +65 85774637,
2601291741090276977,250818140014812,John Mock-Doe Evelynn 01,Invoice Payment,Authorized,100.0,USD,80.0,USD,20.0,USD,2026-01-29 17:41:09.508,Payout to third-party (USD) 12821918191 - BANCO NACIONAL DE CUBA,
2601291724310276952,260129160059967,test Ichigo,Invoice Payment,Authorized,245.44,HKD,45.44,HKD,200.0,HKD,2026-01-29 17:24:31.489,Payout to third-party (HKD) 4628274 - The Hongkong and Shanghai Banking Corporation Limited,
2601291713450276943,260129160059967,test Ichigo,QR Payment,Completed,5.0,SGD,5.0,SGD,0.0,SGD,2026-01-29 17:13:45.000,Payment to (SGD) DTC Mock - MOBILE - +65 91331200,
2601291704210276925,260108120050521,Angry Bird,QR Payment,Closed,0.32,SGD,1.0,MYR,0.0,,2026-01-29 17:04:21.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601291703520276909,260108120050521,Angry Bird,QR Payment,Closed,0.32,SGD,1.0,MYR,0.0,,2026-01-29 17:03:52.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601291651190276872,260108120050521,Angry Bird,QR Payment,Completed,0.32,SGD,1.0,MYR,0.0,SGD,2026-01-29 16:51:19.718,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601291650500276863,260108120050521,Angry Bird,QR Payment,Closed,0.32,SGD,1.0,MYR,0.0,,2026-01-29 16:50:50.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601291647110276846,251223100048052,TT WANG4,Deposit,Authorized,13.0,SGD,0.0,SGD,0.0,SGD,2026-01-29 16:47:11.942,Deposit to (SGD) 1234567878 - DBS BANK LTD,
2601291645280276822,251118180038184,Lucas Wong,QR Payment,Completed,6.27,SGD,6.27,SGD,0.0,SGD,2026-01-29 16:45:28.000,Payment to (SGD) DTC Mock - MOBILE - +65 81772222,
2601291643590276802,251118180038184,Lucas Wong,QR Payment,Completed,6.27,SGD,6.27,SGD,0.0,SGD,2026-01-29 16:43:59.000,Payment to (SGD) DTC Mock - MOBILE - +65 81772222,
2601291640290276797,1712719194095,W A10,Deposit,Authorized,10000.0,USD,0.0,USD,0.0,USD,2026-01-29 16:40:29.297,Deposit to (USD) 2132415 - MAYBANK SINGAPORE LIMITED,
2601291638340276773,1669025274037,mirya,Refund,Completed,1.27,SGD,1.27,SGD,0.0,SGD,2026-01-29 16:38:34.394,,
2601291635570276756,1669025274037,mirya,QR Payment,Partial Refunded,6.37,SGD,5.0,USD,0.0,SGD,2026-01-29 16:35:57.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601291634100276749,1669025274037,mirya,QR Payment,Closed,6.37,SGD,5.0,USD,0.0,SGD,2026-01-29 16:34:10.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601291631440276722,260108120050521,Angry Bird,QR Payment,Completed,0.0,SGD,1.0,IDR,0.0,SGD,2026-01-29 16:31:44.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601291631070276711,260108120050521,Angry Bird,QR Payment,Completed,0.32,SGD,1.0,MYR,0.0,SGD,2026-01-29 16:31:07.581,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601291630450276683,250422100003851,ian ding,QR Payment,Completed,10.0,SGD,10.0,SGD,0.0,SGD,2026-01-29 16:30:45.000,Payment to (SGD) DTC Mock - MOBILE - +65 85774637,
2601291625040276670,260120170059086,Test ZX 1011,QR Payment,Completed,1.0,SGD,1.0,SGD,0.0,SGD,2026-01-29 16:25:04.000,Payment to (SGD) DTC Mock - MOBILE - +65 91235213,
2601291624180276663,260120170059086,Test ZX 1011,QR Payment,Completed,1.0,SGD,1.0,SGD,0.0,SGD,2026-01-29 16:24:18.000,Payment to (SGD) DTC Mock - MOBILE - +65 91235213,
2601291624090276645,260129150059885,wow heheha,Deposit,Authorized,1000.0,USD,0.0,USD,0.0,USD,2026-01-29 16:24:09.732,Deposit to (USD) 2132415 - MAYBANK SINGAPORE LIMITED,
2601291621220276630,1712719194095,W A10,Withdraw,Authorized,10001.0,SGD,1.0,SGD,10000.0,SGD,2026-01-29 16:21:22.637,Withdraw to (SGD) 1823765231 - ABN AMRO Clearing Bank NV,
2601291617310276612,1712719194095,W A10,Withdraw,Authorized,10.0,SGD,5.0,SGD,5.0,SGD,2026-01-29 16:17:31.264,Withdraw to (SGD) 1823765231 - ABN AMRO Clearing Bank NV,
2601291522060276608,8525020145,TESTSC COPA,Deposit,Closed,12.0,CNH,0.0,CNH,0.0,CNH,2026-01-29 15:22:06.000,Deposit to (CNH) 11679401692 - ANEXT Bank Pte. Ltd.,ec95b0f3662d83afc599e04649a8d01ad7457435291dee8996d7a8c660d98e09
2601291448450276573,250325230000273,TT WANG,Deposit,Authorized,11.0,USD,0.0,USD,0.0,USD,2026-01-29 14:48:45.252,Deposit to (USD) 2132415 - MAYBANK SINGAPORE LIMITED,
2601291442130276556,260108120050521,Angry Bird,QR Payment,Completed,1.0,SGD,1.0,SGD,0.0,SGD,2026-01-29 14:42:13.933,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601291441410276533,260108120050521,Angry Bird,QR Payment,Closed,1.27,SGD,1.0,USD,0.0,SGD,2026-01-29 14:41:41.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601291440440276524,260108120050521,Angry Bird,QR Payment,Closed,1.27,SGD,1.0,USD,0.0,SGD,2026-01-29 14:40:44.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601291439550276492,260108120050521,Angry Bird,QR Payment,Completed,5.0,SGD,5.0,SGD,0.0,SGD,2026-01-29 14:39:55.476,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601291439300276487,260108120050521,Angry Bird,QR Payment,Closed,8000.0,SGD,8000.0,SGD,0.0,,2026-01-29 14:39:30.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601291113570276470,1712547249043,DispName1 ! &#$%*+>’<”,Deposit,Authorized,2222.0,USD,0.0,USD,0.0,USD,2026-01-29 11:13:57.533,Deposit to (USD) 2132415 - MAYBANK SINGAPORE LIMITED,
2601291024200276460,85251105090002338,Lillian,Transfer In,Completed,1.25,SGD,1.25,SGD,0.0,SGD,2026-01-29 10:24:20.155,"Transfer In, From (8522120036) MIR test",
2601291024180276443,8522120036,MIR test,Transfer Out,Completed,1.25,SGD,1.25,SGD,0.0,SGD,2026-01-29 10:24:18.000,"Transfer Out, To (85251105090002338) Lillian",
2601291002110276414,251112140035791,MYS Test,QR Payment,Completed,10.0,SGD,10.0,SGD,0.0,SGD,2026-01-29 10:02:11.000,Payment to (SGD) DTC Mock - MOBILE - +65 89458122,
2601281607080276399,85251202150002528,YHTEST Atome,Invoice Payment,Completed,614.45,HKD,414.45,HKD,200.0,HKD,2026-01-28 16:07:08.000,Payout to third-party (HKD) 674567657 - The Hongkong and Shanghai Banking Corporation Limited,
2601281535400276367,251118180038184,Lucas Wong,QR Payment,Completed,12.0,SGD,12.0,SGD,0.0,SGD,2026-01-28 15:35:40.000,Payment to (SGD) DTC Mock - UEN - 987654321K,
2601281457530276353,250526170007154,YAN JIAXIN 2,Invoice Payment,Closed,6.0,SGD,1.0,SGD,5.0,SGD,2026-01-28 14:57:53.000,Payout to third-party (SGD) 202508250000 - DBS,
2601281457210276332,250526170007154,YAN JIAXIN 2,Invoice Payment,Closed,6.0,SGD,1.0,SGD,5.0,SGD,2026-01-28 14:57:21.000,Payout to third-party (SGD) 202508250000 - DBS,
2601281457050276310,250526170007154,YAN JIAXIN 2,Invoice Payment,Closed,6.0,SGD,1.0,SGD,5.0,SGD,2026-01-28 14:57:05.000,Payout to third-party (SGD) 202508250000 - DBS,
2601281158480276307,250526170007154,YAN JIAXIN 2,Invoice Payment,Authorized,6.1,SGD,1.1,SGD,5.0,SGD,2026-01-28 11:58:48.000,Payout to third-party (SGD) 202508250000 - DBS,
2601281158270276290,250526170007154,YAN JIAXIN 2,Invoice Payment,Authorized,6.0,SGD,1.0,SGD,5.0,SGD,2026-01-28 11:58:27.000,Payout to third-party (SGD) 202508250000 - DBS,
2601281131150276289,250619170010443,TT WANG 222,Invoice Payment,Completed,1176.0,SGD,1171.0,SGD,5.0,SGD,2026-01-28 11:31:15.000,Payout to third-party (SGD) 202509020001 - DBS,
2601280922170276252,250507120005941,W A1,QR Payment,Completed,31.19,SGD,98.73,MYR,0.0,SGD,2026-01-28 09:22:17.060,Payment to (SGD) network_integration_test_order_code - ALIPAY_PLUS_MPM - 1234,
